Date,Open,High,Low,Close,Trend,Near support,Near resistance,Far support,Far resistance,Shares,Price,Cash,PnL,N_far,N_near
2022-01-03,176.80387433376782,181.8247374938345,176.68457162105662,180.95974731445312,0.0,,,,,0.0,,0.0,0.0,,
2022-01-04,181.5761715334321,181.88438030728767,178.08641564312208,178.66307067871094,0.0,,,,,0.0,,0.0,0.0,,
2022-01-05,178.57359957702712,179.130365789669,173.6322766837181,173.91065979003906,0.0,,,,,0.0,,0.0,0.0,,
2022-01-06,171.70346507569235,174.288468347727,170.64958402764074,171.00750732421875,0.0,,,,,0.0,,0.0,0.0,,
2022-01-07,171.89239086473282,173.13517812449018,170.04312281538412,171.17654418945312,0.0,,,,,0.0,,0.0,0.0,,
2022-01-10,168.10435621926305,171.50461990648532,167.19960356892346,171.1964111328125,0.0,,,,,0.0,,0.0,0.0,,
2022-01-11,171.3256642347838,174.16914653069787,169.83431972788244,174.06973266601562,0.0,,,,,0.0,,0.0,0.0,,
2022-01-12,175.10372749404806,176.15760853419263,173.81124103846915,174.5171356201172,0.0,,,,,0.0,,0.0,0.0,,
2022-01-13,174.7656920452508,175.6008413359915,170.798710158121,171.1964111328125,0.0,,,,,0.0,,0.0,0.0,,
2022-01-14,170.35132170738993,172.7772447244718,170.1027642699142,172.07135009765625,0.0,,,,,0.0,,0.0,0.0,,
2022-01-18,170.52032997577606,171.54438535065597,168.43245671323794,168.82020568847656,0.0,,,,,0.0,,0.0,0.0,,
2022-01-19,169.01906352725237,170.09283351603224,164.9824930256262,165.27081298828125,0.0,,,,,0.0,,0.0,0.0,,
2022-01-20,166.0164631777702,168.7008802061988,163.23261711576475,163.5607147216797,0.0,,,,,0.0,,0.0,0.0,,
2022-01-21,163.47123546894298,165.370217720934,161.363473488319,161.47283935546875,0.0,,,,,0.0,,0.0,0.0,,
2022-01-24,159.09664993875282,161.36349257070873,153.807340350361,160.68740844726562,0.0,,,,,0.0,,0.0,0.0,,
2022-01-25,158.06263019007068,161.82081716470665,156.11394851397696,158.85801696777344,0.0,,,,,0.0,,0.0,0.0,,
2022-01-26,162.5565520679295,163.4414158729681,156.90933478874848,158.76853942871094,0.0,,,,,0.0,,0.0,0.0,,
2022-01-27,161.51261196021377,162.89459063834667,157.36667592581514,158.30125427246094,0.0,,,,,0.0,,0.0,0.0,,
2022-01-28,164.75381618545572,169.36704155248356,161.8606040134593,169.34715270996094,0.0,,,,,0.0,,0.0,0.0,,
2022-01-31,169.17811781247988,173.99018559010867,168.53185944927247,173.77145385742188,0.0,,,,,0.0,,0.0,0.0,,
2022-02-01,173.0059036249537,173.83111609162236,171.31571617897487,173.60244750976562,0.0,,,,,0.0,,0.0,0.0,,
2022-02-02,173.74164116159096,174.8651255842545,172.32983679925042,174.82534790039062,0.0,,,,,0.0,,0.0,0.0,,
2022-02-03,173.47319801702386,175.2230520407535,171.12681526126593,171.90231323242188,0.0,,,,,0.0,,0.0,0.0,,
2022-02-04,170.9068230398649,173.31593781323846,169.91132659105838,171.61363220214844,0.0,,,,,0.0,,0.0,0.0,,
2022-02-07,172.08150976634272,173.1665972058991,170.18010798065197,170.8869171142578,0.0,,,,,0.0,,0.0,0.0,,
2022-02-08,170.95660320647164,174.56031072901186,170.6579512297869,174.0426483154297,0.0,,,,,0.0,,0.0,0.0,,
2022-02-09,175.25713933082056,175.85442803998657,174.11230938896466,175.48609924316406,0.0,,,,,0.0,,0.0,0.0,,
